"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K3,K2";"Relay_SPDT_Omron-G5LE-1";2;"FRS10CS10-12V";;;
2;"K1";"Relay_SPDT_Omron-G5LE-1";1;"Switch de Encendido";;;
3;"C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"102";;;
4;"C6,C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"104";;;
5;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ACS714T-30A";;;
6;"U2";"TO-92_Inline";1;"L78L05_TO92";;;
7;"GND,GND";"SolderWirePad_1x01_Drill0.8mm";2;"SolderWirePad_1x01_Drill0.8mm";;;
8;"D7,D8,D9,D10";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4004";;;
9;"C1,C2,C4,C5";"C_Disc_D3.8mm_W2.6mm_P2.50mm";4;"104";;;
10;"C7";"C_Radial_D6.3mm_H11.0mm_P2.50mm";1;"220uF";;;
11;"C8";"C_Radial_D6.3mm_H11.0mm_P2.50mm";1;"100uF";;;
12;"C10";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"102";;;
13;"D3,D4,D5,D6";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
14;"J1";"SolderWirePad_1x01_Drill1.2mm";1;"PULS1";;;
15;"J2";"SolderWirePad_1x01_Drill1.2mm";1;"PULS2";;;
16;"J3";"SolderWirePad_1x01_Drill2mm";1;"MotorT2";;;
17;"J4";"SolderWirePad_1x01_Drill2mm";1;"MotorT1";;;
18;"J5";"SolderWirePad_1x01_Drill2mm";1;"VIn+12";;;
19;"J6";"SolderWirePad_1x01_Drill1.2mm";1;"Contac12V ";;;
20;"J7";"SolderWirePad_1x01_Drill2mm";1;"GND";;;
21;"Q1,Q2";"TO-92_Inline_Wide";2;"BC337";;;
22;"R1,R2,R4,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"100K";;;
23;"R3,R5,R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"10K";;;
24;"R7,R8,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"5.6k";;;
25;"R9,R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100";;;
26;"R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10k";;;
27;"R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"3.3k";;;
28;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"3.9k";;;
29;"R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"4.7k";;;
30;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"9.2k";;;
31;"SW1";"SW_DIP_SPSTx06_Slide_6.7x16.8mm_W7.62mm_P2.54mm_LowProfile";1;"SW_DIP_x06";;;
32;"U1";"DIP-8_W7.62mm";1;"PIC12F675-IP";;;
